Kategori,Kebutuhan,Satuan,Jumlah_Kemasan,Harga_Per_Kemasan,Subtotal,Jumlah_Data_Produk
Air Mineral,7500.0,liter,521,46940.0,24455740.0,110
Beras,1200.0,kg,240,89000.0,21360000.0,318
Mi Instan,9000,bungkus,225,117050,26336250.0,169
Minyak Goreng,250.0,liter,125,47550.0,5943750.0,304
Gula Pasir,250.0,kg,250,22000,5500000.0,291
Selimut,400,buah,400,54500.0,21800000.0,68
TOTAL,,,,,105395740.0,
