Kategori,Kebutuhan,Satuan,Jumlah_Kemasan,Harga_Per_Kemasan,Subtotal,Jumlah_Data_Produk
Air Mineral,7500.0,liter,521,49500.0,25789500.0,188
Beras,1200.0,kg,240,85500.0,20520000.0,302
Mi Instan,9000,bungkus,225,131000,29475000.0,297
Minyak Goreng,250.0,liter,125,45000.0,5625000.0,308
Gula Pasir,250.0,kg,250,22000.0,5500000.0,340
Selimut,400,buah,400,122550.0,49020000.0,360
TOTAL,,,,,135929500.0,
