Kategori,Kebutuhan,Satuan,Jumlah_Kemasan,Harga_Per_Kemasan,Subtotal,Jumlah_Data_Produk
Air Mineral,7500.0,liter,521,48000,25008000.0,197
Beras,1200.0,kg,240,104900,25176000.0,333
Mi Instan,9000,bungkus,225,130000,29250000.0,273
Minyak Goreng,250.0,liter,125,43900.0,5487500.0,220
Gula Pasir,250.0,kg,250,22000,5500000.0,277
Selimut,400,buah,400,111900,44760000.0,311
TOTAL,,,,,135181500.0,
